model,sampler,pct_auc,pct_f1,pct_recall,pct_accuracy
Logistic Regression,SMOTE,0.0110481907105411,0.0897119968520613,0.20829717063010614,-0.027605789328378788
Logistic Regression,ENN,0.02413059486750223,-0.29479529839085883,6.335705606665518,-3.9831210316677836
Logistic Regression,SMOTEENN,0.03284782862368355,-0.3312419345629797,6.578718972400632,-4.164530504397205
Random Forest,SMOTE,0.09198954057443733,0.35058589538635554,0.2835155933576348,0.1567455254620256
Random Forest,ENN,0.018952335583414283,0.7304404401816449,16.4439044147428,-6.842124448656726
Random Forest,SMOTEENN,0.0026384900432092503,0.6261722178023763,17.193195625759415,-7.279553822039149
XGBoost,SMOTE,-0.011901522824524531,0.38595839670506205,-1.766351871283664,1.3246053138236507
XGBoost,ENN,-0.2227637093069345,-0.3439546473010367,6.715634837355716,-3.989218328840976
XGBoost,SMOTEENN,-0.22455613841775024,-0.27350402535127516,5.299055613850992,-3.1459376203311553
ANN,SMOTE,0.5525357940320598,0.7025950056109189,5.342031029619177,-2.3065739321780807
ANN,ENN,1.2755691664134496,1.8132850137389875,6.999294781382222,-2.0629494282683094
ANN,SMOTEENN,0.19017344077850887,0.2604550293817097,-1.3928067700987408,1.0570159927698504
Ensemble,SMOTE,0.05750659956380365,0.21282926389498885,0.05436752446538356,0.17063552252389544
Ensemble,ENN,-0.07978315119550779,-0.7682943669396463,8.517578832910466,-5.187319884726226
Ensemble,SMOTEENN,-0.24612731325750165,-0.8085195621610833,7.230880753896342,-4.554072501137566
